Collection Period,"Department/
Agency Name",Agency Short Name,Project ID,Project Title,Government Domain,ICT Project Category,Description,Stage,Benefit Category  ( Benefit Type),Date of Closure/ Postponement,PM Methodologies,Initiation Start Date,Planned Initiation End Date,Revised Initiation End Date,Business Case Approval Date,Planned Initiation Cost,Revised initiation Cost,Planned Delivery Start Date,Revised Delivery Start Date,Planned Delivery End Date,Revised Delivery End Date,Planned Delivery Cost,Revised Delivery Cost,Q1 21-22,Q2 21-22,Q3 21-22,Q4 21-22,Q1 22-23 (Current),Reporting  Comments
Q1 22-23,Country Fire Authority,CFA,2151,CFA Short Status Messaging (SSM),Emergencies and Safety,Communication,Provide a Short Status Messaging system to allow CFA mobile radios to send status messages to fire dispatchers at ESTA.  This will deliver more efficient use of radio channels by minimising voice congestion on radio dispatch channels.,Delivery,Efficiency/Productivity (Non Financial),,PRINCE2,01-10-10,01-07-12,30-06-20,01-07-20,$0,"$45,000",01-07-20,,30-06-21,30-06-23,"$2,850,000",,Green,Green,Red,Amber,Green,Business Case & Project Management Plan approved following approved Change Request. The project has transitioned to a Green rating in Q1 2022-23.
Q1 22-23,Gippsland Health Alliance,GHA,2209,Electronic Medical Record and Community Health (EMRCH),Health,"Customer Relationship Management,Data Management,Document Management","The EMRCH project is a core component to the facilitation of highly integrated health services across all aspects of the specific services administered by the members of the Gippsland Health alliance, its implementation will facilitate the implementation of new models of care.",Delivery,"Efficiency/Productivity (Non Financial), Risk Reduction (Non Financial)",,PMBoK,02-02-16,30-10-17,,01-11-17,"$554,038",,09-01-18,,31-12-19,31-12-22,"$7,419,045","$17,411,713",Amber,Amber,Amber,Amber,Amber,"COVID-19 impacts continue to complicate resourcing of project activities due to clinical requirements.

Even with restriction and clinical impacts saw both BCH and CGH achieve successful activations in the planned timeline."
Q1 22-23,Hume Rural Health Alliance,HRHA,2210,Goulburn Valley Health Redevelopment,Health,Systems Management,"The ICT component of the redevelopment of the Goulburn Valley Health Hospital to support improved health outcomes for the GV community, better access to health care in the GV community and the better use of health resources in Victoria.",Delivery,Increased Revenue (Financial),,PRINCE2,20-04-16,30-06-18,01-08-18,01-08-18,"$400,000","$100,000",31-10-18,,29-05-20,31-12-22,"$4,600,000","$3,866,000",Green,Green,Green,Green,Green,"New build works have been accelerated.
Refurbishment works have been delayed as a result of response to COVID-19."
Q1 22-23,Ports Victoria,PortsVic,2262,Vessel Traffic Services Systems Upgrade,Transport and Vehicles,Communication,"Replacement of existing / ageing Vessel Traffic Services Information Communications Technology systems with a focus on upgraded system integration, redundancy and disaster recovery. Affected systems include radio, telephony, radar, vessel AIS (Automatic Identification System), vessel DUKC (Dynamic Under-Keel Clearance), CCTV and Met Ocean (tide, wind, wave and weather).",Delivery,"Compliance (Non Financial), Efficiency/Productivity (Non Financial), Risk Reduction (Non Financial)",,VPCM (PMBoK),03-12-15,03-12-15,30-11-18,10-12-18,$0,,10-01-19,,18-12-20,30-11-22,"$9,078,548",,Green,Green,Green,Green,Green,The new VTS solution is now live and has entered the ongoing support phase. Project closure is in progress and will be completed following sign-off of as-built documentation.
Q1 22-23,Public Record Office Victoria,PROV,2263,Digital Archive Program,Government and Economy,"Content Management,Document Management ,Records Management",This program is progressively renewing and replacing Public Record Office Victoria's digital archive infrastructure. The program is expected to enable better access to PROV records while facilitating long term preservation and reducing operating costs.,Delivery,Efficiency/Productivity (Non Financial),,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),01-07-15,01-07-15,,01-07-15,"$200,000",$0,01-07-15,,30-06-18,31-03-23,"$4,062,000","$5,617,000",Amber,Amber,Amber,Amber,Amber,"> MOU with SLV nearing sign off. 
> Key risk mitigation for Ordering System will be addressed through a codebase review."
Q1 22-23,Royal Victorian Eye and Ear Hospital,Eye & Ear,2280,Royal Victorian Eye and Ear Hospital - ICT Redevelopment Stage 3 Hardware Tender and Implementation,Health,Systems Management,Fit-out of new IT infrastructure to support hospital redevelopment objectives,Delivery,"Efficiency/Productivity (Non Financial), Risk Reduction (Non Financial)",,PRINCE2,01-07-13,30-06-14,,30-06-14,$0,$0,30-06-14,30-06-14,31-12-18,31-03-23,$0,"$1,550,266",Green,Green,Green,Green,Green,"Purchasing and Commissioning of Hardware continues as we are advised of revised Construction Program.
Ordering of long lead time equipment and then construction program running behind has started to cause Storage issues which are being worked through at present."
Q1 22-23,Northern Health,NH,2411,Northern Health EMR Program,Health,"Analyses and Statistics ,Collaboration  ,Communication,Organisational Management ,Records Management",Implementation of an Electronic Medical Record at Northern Health including all sites,Delivery,"Efficiency/Productivity (Non Financial), Increased Quality (Non Financial)",,PRINCE2,18-10-16,01-05-18,01-02-21,02-02-21,$0,$0,08-02-21,,18-12-22,04-09-23,"$38,700,000","$46,024,365",Red,Amber,Amber,Red,Amber,The project is now tracking amber since the timeline has been shifted and endorsed
Q1 22-23,Court Services Victoria,CSV,2452,Courts Case Management System,Law and Justice,Tracking and Workflow,"The CMS Project aims to procure and implement a new case management system for Magistrates� Court and Children�s Court. The system will enable better information sharing between courts and other agencies, and provide better access to case information",Delivery,Efficiency/Productivity (Non Financial),,Project Management Excellence (PME),01-07-16,02-05-17,,02-05-17,$0,,01-07-17,,30-06-22,31-10-22,"$89,200,000","$89,233,000",Red,Red,Red,Red,Red,The overall project status remains red given delays against baseline delivery schedule. The project is progressing with delivering the Business Case scope against revised agreed plans and schedule.
Q1 22-23,North East Region Water Corporation,NE Water,2481,Customer Billing System,Environment and Water,"Customer Relationship Management,Knowledge Management ,Management of Process",Procure a replacement for the current Billing system and implement a new self service portal for customers.,Delivery,"Customer Satisfaction (Non Financial), Efficiency/Productivity (Non Financial), Workforce Satisfaction (Non Financial)",,Vic Govt PM Framework,01-07-17,31-12-17,16-04-21,16-04-21,$0,"$1,186,673",19-04-21,,31-05-22,10-10-22,"$8,597,916","$13,784,758",Amber,Amber,Amber,Amber,Green,During this period defects were reduced to the point where we made the decision to proceed to GoLive on October 10th.
Q1 22-23,V/Line Corporation,V/Line,2490,Workforce management,Transport and Vehicles,Human Capital / Workforce Management,The Workforce management project will streamline the workforce management function and deliver an electronic rostering system that support V/Line to ensure it is able to meet daily staffing challenges to provide punctual and reliable train services,Initiated,,,Hybrid - PRINCE2 and Agile (incl PRINCE2 Agile method),18-01-18,28-02-18,31-10-22,,"$250,000",$0,,,,,,,,,,,,The project is reinitiated with approved funding. Awaiting signing the contract with the vendor to commence phase 1 of the project for system installation. Planning and analysis is continuing.
